Nfrequ1,Nfrequ2,Nfrequ3,max_disp_cm,Mass_Kg,util_average
1.8,3.6,6.8,1.14,221306,0.286693
2.1,3.7,4.4,1.71,121108,0.686575
1.6,1.7,3.1,21.09,191870,0.976599
1.3,3,6.1,1.71,287946,0.496648
2.7,4.4,4.9,4.845,93428,0.692188
3.3,4,4.5,3.99,133434,0.791587
1.3,2.2,3.7,5.985,203176,0.979288
2.1,2.3,3.1,19.95,213436,2.661588
1.1,1.4,2.7,28.785,182366,1.059808
0.4,0.8,1,583.68,192747,9.34797
1,2.8,5.8,3.135,368001,0.292884
2,3,3.8,6.27,140698,0.584749
3.3,5.8,6.5,1.71,217220,0.432166
1.6,1.8,3.9,10.26,279733,0.67584
3.7,4.4,5.2,5.13,157614,1.24089
2.4,4.9,6.2,2.28,271522,0.361289
2.6,3.9,6.1,2.28,236769,0.606338
1.3,1.8,3.2,5.7,130214,0.824582
1.9,3.1,5.6,3.135,218255,0.362918
3.4,4,4.5,7.41,105704,1.05858
3.1,5.4,6.8,2.565,123925,0.36586
1.4,3.1,5.4,3.135,311928,0.345808
2.2,4.1,4.3,5.7,124637,0.699227
1.3,2.8,5,2.28,245068,0.615467
1.7,3.3,6.7,1.425,280129,0.362509
0.7,1.3,2,135.66,149832,2.958362
2.1,3.4,3.9,22.515,116747,2.177151
1.2,1.9,3,5.985,140081,0.927283
1,1.2,2.2,79.8,192297,2.098897
3.7,5.4,6.1,2.565,107451,0.801731
4.5,6.6,7.6,1.995,205591,0.315546
0.2,0.5,0.9,2767.35,93066,15.878301
2.1,2.8,3.2,9.69,168539,1.393504
2.2,3.2,5.4,3.42,253530,0.656952
0.3,0.7,1,784.605,217764,14.868695
1,1.2,1.7,38.76,137775,3.247814
3.1,4.6,8.3,0.855,273146,0.220578
1.5,3.2,5.5,1.71,221950,0.291475
1.9,2.4,2.7,12.255,105480,1.327165
2.5,3.9,4.6,6.27,159777,0.68997
0.8,1,1,114.57,112562,6.260473
2.2,2.8,2.9,13.965,96437,1.896149
1.5,1.5,3.5,15.96,210217,1.246462
2.9,4.9,6.5,1.995,300901,0.421911
1.4,2,2.5,22.23,140357,2.089554
0.7,0.9,2.1,75.24,131669,3.445111
3.5,7.3,7.4,1.425,275361,0.259644
0.3,0.8,1.1,1343.49,95987,12.532056
4.6,5.5,5.7,3.42,222903,0.70269
2.6,4.6,4.9,4.56,164530,0.596029
1.9,3.2,5.1,2.85,120537,0.747109
2.2,3.4,5.9,2.28,280065,0.594048
3.1,4.4,5.1,5.13,169389,0.806448
1.8,3.4,5,2.565,210172,0.727549
1.1,1.7,3.9,8.265,295879,0.648074
1.3,3.1,5.5,1.71,218402,0.29976
4,5.7,7.1,2.85,134732,0.696572
2.6,3.7,4.8,7.98,147717,1.219775
1,1.3,2.7,26.22,123840,1.068265
2.3,3.4,6.2,1.14,229405,0.383532
1.1,2.2,4.1,2.85,197982,0.788342
1.4,3.5,5.7,2.565,250735,0.340429
2.7,4.3,5.9,2.28,158585,0.48979
1.6,2.7,2.8,8.835,116028,1.660255
0.9,1.2,2.4,30.495,93469,1.887396
2.3,3.6,6.6,1.995,193092,0.466733
1.7,3.2,5.9,2.565,295299,0.324572
2.3,2.8,3.3,19.095,153600,1.270722
1.8,3,3.8,7.125,137905,1.229805
2.8,4.5,6.8,1.14,254652,0.255046
2.3,3.3,4.5,5.13,140570,0.488943
2,3.5,6.2,0.57,243267,0.333742
1.1,1.5,3.4,8.55,305227,1.249263
5.7,8.4,10.5,0.57,248197,0.282194
0.9,1.2,2,58.71,172774,3.186006
1.5,3,5.3,4.275,158275,0.415427
0.5,1,1.3,558.315,153996,10.663125
1.3,2.6,5,3.42,168125,0.59297
1.6,1.7,4.1,7.41,306178,0.630502
1.5,2.8,3.9,3.99,232519,0.703319
0.6,1,1.7,282.72,232430,6.71554
3.9,4.9,5.5,3.135,184456,0.920636
2.8,4.3,4.5,5.7,148930,0.659661
1.8,3,5.4,0.855,237758,0.409764
0.8,1.2,1.6,85.5,134042,4.047301
3,5.5,7,1.425,126153,0.337918
3.5,4.4,6.1,2.85,87870,0.881912
2.5,4.5,5.6,4.56,136390,0.643456
1.5,1.7,3.9,9.975,295917,0.981594
2.5,3.6,5.9,1.995,243715,0.312696
1.2,1.6,1.9,22.515,84223,2.757034
1.1,1.6,3.4,15.105,174836,0.848156
2,3.8,7.8,0.855,309219,0.207498
1.4,2.6,4.4,6.27,135245,0.924679
3.1,4.6,5.6,3.705,108348,0.432087
1.1,3,6.4,1.71,346443,0.372227
1.3,1.7,3.5,7.695,298088,1.261415
2.5,4,6.8,1.14,223239,0.503954
0.2,0.5,0.7,2267.46,134133,28.862324
0.2,0.5,0.8,3119.61,165669,34.496362
3.4,6.7,7.6,1.425,252823,0.390414
0.9,1.9,2.3,95.19,221816,2.615407
2.1,3.9,6,1.14,140487,0.490211
2.2,3,4.4,18.81,105356,0.940936
2,3.5,7.2,1.71,260650,0.291931
